Lugar de residencia (capitales);Mes de la defunción;Sexo;Total
Ciudad Real;Diciembre;Hombres;40
Ciudad Real;Diciembre;Mujeres;18
Córdoba;Total;Total;3.068
Córdoba;Total;Hombres;1.454
Córdoba;Total;Mujeres;1.614
Córdoba;Enero;Total;289
Córdoba;Enero;Hombres;134
Córdoba;Enero;Mujeres;155
Córdoba;Febrero;Total;249
Córdoba;Febrero;Hombres;114
Córdoba;Febrero;Mujeres;135
Córdoba;Marzo;Total;273
Córdoba;Marzo;Hombres;116
Córdoba;Marzo;Mujeres;157
Córdoba;Abril;Total;245
Córdoba;Abril;Hombres;116
Córdoba;Abril;Mujeres;129
Córdoba;Mayo;Total;248
Córdoba;Mayo;Hombres;101
Córdoba;Mayo;Mujeres;147
Córdoba;Junio;Total;226
Córdoba;Junio;Hombres;122
Córdoba;Junio;Mujeres;104
Córdoba;Julio;Total;235
Córdoba;Julio;Hombres;120
Córdoba;Julio;Mujeres;115
Córdoba;Agosto;Total;233
Córdoba;Agosto;Hombres;94
Córdoba;Agosto;Mujeres;139
Córdoba;Septiembre;Total;226
Córdoba;Septiembre;Hombres;112
Córdoba;Septiembre;Mujeres;114
Córdoba;Octubre;Total;289
Córdoba;Octubre;Hombres;156
Córdoba;Octubre;Mujeres;133
Córdoba;Noviembre;Total;272
Córdoba;Noviembre;Hombres;138
Córdoba;Noviembre;Mujeres;134
Córdoba;Diciembre;Total;283
Córdoba;Diciembre;Hombres;131
Córdoba;Diciembre;Mujeres;152
La Coruña;Total;Total;2.651
La Coruña;Total;Hombres;1.285
La Coruña;Total;Mujeres;1.366
La Coruña;Enero;Total;264
La Coruña;Enero;Hombres;123
La Coruña;Enero;Mujeres;141
La Coruña;Febrero;Total;223
La Coruña;Febrero;Hombres;99
La Coruña;Febrero;Mujeres;124
La Coruña;Marzo;Total;253
La Coruña;Marzo;Hombres;131
La Coruña;Marzo;Mujeres;122
La Coruña;Abril;Total;299
La Coruña;Abril;Hombres;142
La Coruña;Abril;Mujeres;157
La Coruña;Mayo;Total;213
La Coruña;Mayo;Hombres;110
La Coruña;Mayo;Mujeres;103
La Coruña;Junio;Total;158
La Coruña;Junio;Hombres;73
La Coruña;Junio;Mujeres;85
La Coruña;Julio;Total;184
La Coruña;Julio;Hombres;90
La Coruña;Julio;Mujeres;94
La Coruña;Agosto;Total;209
La Coruña;Agosto;Hombres;101
La Coruña;Agosto;Mujeres;108
La Coruña;Septiembre;Total;202
La Coruña;Septiembre;Hombres;101
La Coruña;Septiembre;Mujeres;101
La Coruña;Octubre;Total;221
La Coruña;Octubre;Hombres;102
La Coruña;Octubre;Mujeres;119
La Coruña;Noviembre;Total;199
La Coruña;Noviembre;Hombres;98
La Coruña;Noviembre;Mujeres;101
La Coruña;Diciembre;Total;226
La Coruña;Diciembre;Hombres;115
La Coruña;Diciembre;Mujeres;111
Cuenca;Total;Total;728
Cuenca;Total;Hombres;388
Cuenca;Total;Mujeres;340
Cuenca;Enero;Total;46
Cuenca;Enero;Hombres;23
Cuenca;Enero;Mujeres;23
Cuenca;Febrero;Total;43
Cuenca;Febrero;Hombres;17
Cuenca;Febrero;Mujeres;26
Cuenca;Marzo;Total;137
Cuenca;Marzo;Hombres;81
Cuenca;Marzo;Mujeres;56
Cuenca;Abril;Total;139
Cuenca;Abril;Hombres;65
Cuenca;Abril;Mujeres;74
Cuenca;Mayo;Total;47
Cuenca;Mayo;Hombres;22
Cuenca;Mayo;Mujeres;25
Cuenca;Junio;Total;40
Cuenca;Junio;Hombres;17
Cuenca;Junio;Mujeres;23
Cuenca;Julio;Total;52
Cuenca;Julio;Hombres;33
Cuenca;Julio;Mujeres;19
Cuenca;Agosto;Total;53
Cuenca;Agosto;Hombres;28
Cuenca;Agosto;Mujeres;25
Cuenca;Septiembre;Total;27
Cuenca;Septiembre;Hombres;18
Cuenca;Septiembre;Mujeres;9
Cuenca;Octubre;Total;52
Cuenca;Octubre;Hombres;31
Cuenca;Octubre;Mujeres;21
Cuenca;Noviembre;Total;48
Cuenca;Noviembre;Hombres;27
Cuenca;Noviembre;Mujeres;21
Cuenca;Diciembre;Total;44
Cuenca;Diciembre;Hombres;26
Cuenca;Diciembre;Mujeres;18
Guipúzcoa;Total;Total;2.173
Guipúzcoa;Total;Hombres;1.001
Guipúzcoa;Total;Mujeres;1.172
Guipúzcoa;Enero;Total;180
Guipúzcoa;Enero;Hombres;77
Guipúzcoa;Enero;Mujeres;103
Guipúzcoa;Febrero;Total;168
Guipúzcoa;Febrero;Hombres;74
Guipúzcoa;Febrero;Mujeres;94
Guipúzcoa;Marzo;Total;208
Guipúzcoa;Marzo;Hombres;103
Guipúzcoa;Marzo;Mujeres;105
Guipúzcoa;Abril;Total;195
Guipúzcoa;Abril;Hombres;86
Guipúzcoa;Abril;Mujeres;109
Guipúzcoa;Mayo;Total;141
Guipúzcoa;Mayo;Hombres;74
Guipúzcoa;Mayo;Mujeres;67
Guipúzcoa;Junio;Total;144
Guipúzcoa;Junio;Hombres;66
Guipúzcoa;Junio;Mujeres;78
Guipúzcoa;Julio;Total;145
Guipúzcoa;Julio;Hombres;78
Guipúzcoa;Julio;Mujeres;67
Guipúzcoa;Agosto;Total;160
Guipúzcoa;Agosto;Hombres;65
Guipúzcoa;Agosto;Mujeres;95
Guipúzcoa;Septiembre;Total;170
Guipúzcoa;Septiembre;Hombres;81
Guipúzcoa;Septiembre;Mujeres;89
Guipúzcoa;Octubre;Total;186
Guipúzcoa;Octubre;Hombres;83
Guipúzcoa;Octubre;Mujeres;103
Guipúzcoa;Noviembre;Total;236
Guipúzcoa;Noviembre;Hombres;109
Guipúzcoa;Noviembre;Mujeres;127
Guipúzcoa;Diciembre;Total;240
Guipúzcoa;Diciembre;Hombres;105
Guipúzcoa;Diciembre;Mujeres;135
Gerona;Total;Total;836
Gerona;Total;Hombres;411
Gerona;Total;Mujeres;425
Gerona;Enero;Total;60
Gerona;Enero;Hombres;35
Gerona;Enero;Mujeres;25
Gerona;Febrero;Total;52
Gerona;Febrero;Hombres;31
Gerona;Febrero;Mujeres;21
Gerona;Marzo;Total;95
Gerona;Marzo;Hombres;47
Gerona;Marzo;Mujeres;48
Gerona;Abril;Total;138
Gerona;Abril;Hombres;63
Gerona;Abril;Mujeres;75
Gerona;Mayo;Total;69
Gerona;Mayo;Hombres;28
Gerona;Mayo;Mujeres;41
Gerona;Junio;Total;44
Gerona;Junio;Hombres;19
Gerona;Junio;Mujeres;25
Gerona;Julio;Total;55
Gerona;Julio;Hombres;26
Gerona;Julio;Mujeres;29
Gerona;Agosto;Total;45
Gerona;Agosto;Hombres;19
Gerona;Agosto;Mujeres;26
Gerona;Septiembre;Total;50
Gerona;Septiembre;Hombres;27
Gerona;Septiembre;Mujeres;23
Gerona;Octubre;Total;65
Gerona;Octubre;Hombres;33
Gerona;Octubre;Mujeres;32
Gerona;Noviembre;Total;88
Gerona;Noviembre;Hombres;43
Gerona;Noviembre;Mujeres;45
Gerona;Diciembre;Total;75
Gerona;Diciembre;Hombres;40
Gerona;Diciembre;Mujeres;35
Granada;Total;Total;2.919
Granada;Total;Hombres;1.345
Granada;Total;Mujeres;1.574
Granada;Enero;Total;236
Granada;Enero;Hombres;115
Granada;Enero;Mujeres;121
Granada;Febrero;Total;216
Granada;Febrero;Hombres;97
Granada;Febrero;Mujeres;119
Granada;Marzo;Total;271
Granada;Marzo;Hombres;120
Granada;Marzo;Mujeres;151
Granada;Abril;Total;299
Granada;Abril;Hombres;124
Granada;Abril;Mujeres;175
Granada;Mayo;Total;186
Granada;Mayo;Hombres;84
Granada;Mayo;Mujeres;102
Granada;Junio;Total;165
Granada;Junio;Hombres;75
Granada;Junio;Mujeres;90
Granada;Julio;Total;214
Granada;Julio;Hombres;103
Granada;Julio;Mujeres;111
Granada;Agosto;Total;240
Granada;Agosto;Hombres;116
Granada;Agosto;Mujeres;124
Granada;Septiembre;Total;162
Granada;Septiembre;Hombres;68
Granada;Septiembre;Mujeres;94
Granada;Octubre;Total;253
Granada;Octubre;Hombres;131
Granada;Octubre;Mujeres;122
Granada;Noviembre;Total;408
Granada;Noviembre;Hombres;186
Granada;Noviembre;Mujeres;222
Granada;Diciembre;Total;269
Granada;Diciembre;Hombres;126
Granada;Diciembre;Mujeres;143
Guadalajara;Total;Total;978
Guadalajara;Total;Hombres;490
Guadalajara;Total;Mujeres;488
Guadalajara;Enero;Total;71
Guadalajara;Enero;Hombres;37
Guadalajara;Enero;Mujeres;34
Guadalajara;Febrero;Total;63
Guadalajara;Febrero;Hombres;30
Guadalajara;Febrero;Mujeres;33
Guadalajara;Marzo;Total;193
Guadalajara;Marzo;Hombres;102
Guadalajara;Marzo;Mujeres;91
Guadalajara;Abril;Total;180
Guadalajara;Abril;Hombres;96
Guadalajara;Abril;Mujeres;84
Guadalajara;Mayo;Total;68
Guadalajara;Mayo;Hombres;27
Guadalajara;Mayo;Mujeres;41
Guadalajara;Junio;Total;34
Guadalajara;Junio;Hombres;19
Guadalajara;Junio;Mujeres;15
Guadalajara;Julio;Total;57
Guadalajara;Julio;Hombres;21
Guadalajara;Julio;Mujeres;36
Guadalajara;Agosto;Total;48
Guadalajara;Agosto;Hombres;27
Guadalajara;Agosto;Mujeres;21
Guadalajara;Septiembre;Total;54
Guadalajara;Septiembre;Hombres;26
Guadalajara;Septiembre;Mujeres;28
Guadalajara;Octubre;Total;80
Guadalajara;Octubre;Hombres;47
Guadalajara;Octubre;Mujeres;33
Guadalajara;Noviembre;Total;70
Guadalajara;Noviembre;Hombres;32
Guadalajara;Noviembre;Mujeres;38
Guadalajara;Diciembre;Total;60
Guadalajara;Diciembre;Hombres;26
Guadalajara;Diciembre;Mujeres;34
Huelva;Total;Total;1.31
Huelva;Total;Hombres;688
Huelva;Total;Mujeres;622
Huelva;Enero;Total;158
Huelva;Enero;Hombres;86
Huelva;Enero;Mujeres;72
Huelva;Febrero;Total;107
Huelva;Febrero;Hombres;47
Huelva;Febrero;Mujeres;60
Huelva;Marzo;Total;123
Huelva;Marzo;Hombres;66
Huelva;Marzo;Mujeres;57
Huelva;Abril;Total;106
Huelva;Abril;Hombres;47
Huelva;Abril;Mujeres;59
Huelva;Mayo;Total;81
Huelva;Mayo;Hombres;44
Huelva;Mayo;Mujeres;37
Huelva;Junio;Total;95
Huelva;Junio;Hombres;50
Huelva;Junio;Mujeres;45
Huelva;Julio;Total;107
Huelva;Julio;Hombres;52
Huelva;Julio;Mujeres;55
Huelva;Agosto;Total;110
Huelva;Agosto;Hombres;63
Huelva;Agosto;Mujeres;47
Huelva;Septiembre;Total;86
Huelva;Septiembre;Hombres;53
Huelva;Septiembre;Mujeres;33
Huelva;Octubre;Total;97
Huelva;Octubre;Hombres;47
Huelva;Octubre;Mujeres;50
Huelva;Noviembre;Total;108
Huelva;Noviembre;Hombres;60
Huelva;Noviembre;Mujeres;48
Huelva;Diciembre;Total;132
Huelva;Diciembre;Hombres;73
Huelva;Diciembre;Mujeres;59
Huesca;Total;Total;623
Huesca;Total;Hombres;278
Huesca;Total;Mujeres;345
Huesca;Enero;Total;56
Huesca;Enero;Hombres;31
Huesca;Enero;Mujeres;25
Huesca;Febrero;Total;44
Huesca;Febrero;Hombres;18
Huesca;Febrero;Mujeres;26
Huesca;Marzo;Total;57
Huesca;Marzo;Hombres;25
Huesca;Marzo;Mujeres;32
Huesca;Abril;Total;61
Huesca;Abril;Hombres;28
Huesca;Abril;Mujeres;33
Huesca;Mayo;Total;36
Huesca;Mayo;Hombres;16
Huesca;Mayo;Mujeres;20
Huesca;Junio;Total;49
Huesca;Junio;Hombres;17
Huesca;Junio;Mujeres;32
Huesca;Julio;Total;48
Huesca;Julio;Hombres;23
Huesca;Julio;Mujeres;25
Huesca;Agosto;Total;50
Huesca;Agosto;Hombres;24
Huesca;Agosto;Mujeres;26
Huesca;Septiembre;Total;48
Huesca;Septiembre;Hombres;24
Huesca;Septiembre;Mujeres;24
Huesca;Octubre;Total;60
Huesca;Octubre;Hombres;26
Huesca;Octubre;Mujeres;34
Huesca;Noviembre;Total;60
Huesca;Noviembre;Hombres;26
Huesca;Noviembre;Mujeres;34
Huesca;Diciembre;Total;54
Huesca;Diciembre;Hombres;20
Huesca;Diciembre;Mujeres;34
Jaén;Total;Total;1.149
Jaén;Total;Hombres;567
Jaén;Total;Mujeres;582
Jaén;Enero;Total;111
Jaén;Enero;Hombres;59
Jaén;Enero;Mujeres;52
Jaén;Febrero;Total;72
Jaén;Febrero;Hombres;27
Jaén;Febrero;Mujeres;45
Jaén;Marzo;Total;132
Jaén;Marzo;Hombres;66
Jaén;Marzo;Mujeres;66
Jaén;Abril;Total;99
Jaén;Abril;Hombres;57
Jaén;Abril;Mujeres;42
Jaén;Mayo;Total;88
Jaén;Mayo;Hombres;47
Jaén;Mayo;Mujeres;41
Jaén;Junio;Total;71
Jaén;Junio;Hombres;41
Jaén;Junio;Mujeres;30
Jaén;Julio;Total;79
Jaén;Julio;Hombres;38
Jaén;Julio;Mujeres;41
Jaén;Agosto;Total;80
Jaén;Agosto;Hombres;37
Jaén;Agosto;Mujeres;43
Jaén;Septiembre;Total;76
Jaén;Septiembre;Hombres;34
Jaén;Septiembre;Mujeres;42
Jaén;Octubre;Total;109
Jaén;Octubre;Hombres;41
Jaén;Octubre;Mujeres;68
Jaén;Noviembre;Total;133
Jaén;Noviembre;Hombres;66
Jaén;Noviembre;Mujeres;67
Jaén;Diciembre;Total;99
Jaén;Diciembre;Hombres;54
Jaén;Diciembre;Mujeres;45
León;Total;Total;1.867
León;Total;Hombres;898
León;Total;Mujeres;969
León;Enero;Total;142
León;Enero;Hombres;57
León;Enero;Mujeres;85
León;Febrero;Total;123
León;Febrero;Hombres;63
León;Febrero;Mujeres;60
León;Marzo;Total;196
León;Marzo;Hombres;94
León;Marzo;Mujeres;102
León;Abril;Total;262
León;Abril;Hombres;125
León;Abril;Mujeres;137
León;Mayo;Total;134
León;Mayo;Hombres;64
León;Mayo;Mujeres;70
León;Junio;Total;137
León;Junio;Hombres;61
León;Junio;Mujeres;76
León;Julio;Total;138
León;Julio;Hombres;65
León;Julio;Mujeres;73
León;Agosto;Total;112
León;Agosto;Hombres;53
León;Agosto;Mujeres;59
León;Septiembre;Total;125
León;Septiembre;Hombres;80
León;Septiembre;Mujeres;45
León;Octubre;Total;176
León;Octubre;Hombres;75
León;Octubre;Mujeres;101
León;Noviembre;Total;175
León;Noviembre;Hombres;89
León;Noviembre;Mujeres;86
León;Diciembre;Total;147
León;Diciembre;Hombres;72
León;Diciembre;Mujeres;75
Lérida;Total;Total;1.295
Lérida;Total;Hombres;687
Lérida;Total;Mujeres;608
Lérida;Enero;Total;116
Lérida;Enero;Hombres;65
Lérida;Enero;Mujeres;51
Lérida;Febrero;Total;94
Lérida;Febrero;Hombres;52
Lérida;Febrero;Mujeres;42
Lérida;Marzo;Total;108
Lérida;Marzo;Hombres;49
Lérida;Marzo;Mujeres;59
Lérida;Abril;Total;172
Lérida;Abril;Hombres;78
Lérida;Abril;Mujeres;94
Lérida;Mayo;Total;86
Lérida;Mayo;Hombres;49
Lérida;Mayo;Mujeres;37
Lérida;Junio;Total;80
Lérida;Junio;Hombres;43
Lérida;Junio;Mujeres;37
Lérida;Julio;Total;148
Lérida;Julio;Hombres;74
Lérida;Julio;Mujeres;74
Lérida;Agosto;Total;110
Lérida;Agosto;Hombres;68
Lérida;Agosto;Mujeres;42
Lérida;Septiembre;Total;83
Lérida;Septiembre;Hombres;51
Lérida;Septiembre;Mujeres;32
Lérida;Octubre;Total;96
Lérida;Octubre;Hombres;46
Lérida;Octubre;Mujeres;50
Lérida;Noviembre;Total;115
Lérida;Noviembre;Hombres;67
Lérida;Noviembre;Mujeres;48
Lérida;Diciembre;Total;87
Lérida;Diciembre;Hombres;45
Lérida;Diciembre;Mujeres;42
Lugo;Total;Total;1.054
Lugo;Total;Hombres;506
Lugo;Total;Mujeres;548
Lugo;Enero;Total;131
Lugo;Enero;Hombres;64
Lugo;Enero;Mujeres;67
Lugo;Febrero;Total;89
Lugo;Febrero;Hombres;43
Lugo;Febrero;Mujeres;46
Lugo;Marzo;Total;109
Lugo;Marzo;Hombres;46
Lugo;Marzo;Mujeres;63
Lugo;Abril;Total;83
Lugo;Abril;Hombres;41
Lugo;Abril;Mujeres;42
Lugo;Mayo;Total;89
Lugo;Mayo;Hombres;42
Lugo;Mayo;Mujeres;47
Lugo;Junio;Total;68
Lugo;Junio;Hombres;27
Lugo;Junio;Mujeres;41
Lugo;Julio;Total;81
Lugo;Julio;Hombres;38
Lugo;Julio;Mujeres;43
Lugo;Agosto;Total;88
Lugo;Agosto;Hombres;42
Lugo;Agosto;Mujeres;46
Lugo;Septiembre;Total;77
Lugo;Septiembre;Hombres;36
Lugo;Septiembre;Mujeres;41
Lugo;Octubre;Total;77
Lugo;Octubre;Hombres;40
Lugo;Octubre;Mujeres;37
Lugo;Noviembre;Total;85
Lugo;Noviembre;Hombres;45
Lugo;Noviembre;Mujeres;40
Lugo;Diciembre;Total;77
Lugo;Diciembre;Hombres;42
Lugo;Diciembre;Mujeres;35
Madrid;Total;Total;39.867
Madrid;Total;Hombres;19.1
Madrid;Total;Mujeres;20.767
Madrid;Enero;Total;2.758
Madrid;Enero;Hombres;1.274
Madrid;Enero;Mujeres;1.484
Madrid;Febrero;Total;2.323
Madrid;Febrero;Hombres;1.087
Madrid;Febrero;Mujeres;1.236
Madrid;Marzo;Total;7.536
Madrid;Marzo;Hombres;3.906
Madrid;Marzo;Mujeres;3.63
Madrid;Abril;Total;7.286
Madrid;Abril;Hombres;3.277
Madrid;Abril;Mujeres;4.009
Madrid;Mayo;Total;2.528
Madrid;Mayo;Hombres;1.19
Madrid;Mayo;Mujeres;1.338
Madrid;Junio;Total;2.018
Madrid;Junio;Hombres;946
Madrid;Junio;Mujeres;1.072
Madrid;Julio;Total;2.3
Madrid;Julio;Hombres;1.037
Madrid;Julio;Mujeres;1.263
Madrid;Agosto;Total;2.411
Madrid;Agosto;Hombres;1.115
Madrid;Agosto;Mujeres;1.296
Madrid;Septiembre;Total;2.695
Madrid;Septiembre;Hombres;1.347
Madrid;Septiembre;Mujeres;1.348
Madrid;Octubre;Total;2.919
Madrid;Octubre;Hombres;1.459
Madrid;Octubre;Mujeres;1.46
Madrid;Noviembre;Total;2.514
Madrid;Noviembre;Hombres;1.238
Madrid;Noviembre;Mujeres;1.276
Madrid;Diciembre;Total;2.579
Madrid;Diciembre;Hombres;1.224
Madrid;Diciembre;Mujeres;1.355
Málaga;Total;Total;5.383
Málaga;Total;Hombres;2.65
Málaga;Total;Mujeres;2.733
Málaga;Enero;Total;510
Málaga;Enero;Hombres;261
Málaga;Enero;Mujeres;249
Málaga;Febrero;Total;412
Málaga;Febrero;Hombres;193
Málaga;Febrero;Mujeres;219
Málaga;Marzo;Total;553
Málaga;Marzo;Hombres;273
Málaga;Marzo;Mujeres;280
Málaga;Abril;Total;541
Málaga;Abril;Hombres;271
Málaga;Abril;Mujeres;270
Málaga;Mayo;Total;402
Málaga;Mayo;Hombres;194
Málaga;Mayo;Mujeres;208
Málaga;Junio;Total;383
Málaga;Junio;Hombres;181
Málaga;Junio;Mujeres;202
Málaga;Julio;Total;365
Málaga;Julio;Hombres;173
Málaga;Julio;Mujeres;192
Málaga;Agosto;Total;446
Málaga;Agosto;Hombres;227
Málaga;Agosto;Mujeres;219
Málaga;Septiembre;Total;405
Málaga;Septiembre;Hombres;206
Málaga;Septiembre;Mujeres;199
Málaga;Octubre;Total;457
Málaga;Octubre;Hombres;233
Málaga;Octubre;Mujeres;224
Málaga;Noviembre;Total;418
Málaga;Noviembre;Hombres;191
Málaga;Noviembre;Mujeres;227
Málaga;Diciembre;Total;491
Málaga;Diciembre;Hombres;247
Málaga;Diciembre;Mujeres;244
Murcia;Total;Total;3.611
Murcia;Total;Hombres;1.839
Murcia;Total;Mujeres;1.772
Murcia;Enero;Total;348
Murcia;Enero;Hombres;177
Murcia;Enero;Mujeres;171
Murcia;Febrero;Total;310
Murcia;Febrero;Hombres;163
Murcia;Febrero;Mujeres;147
Murcia;Marzo;Total;305
Murcia;Marzo;Hombres;150
Murcia;Marzo;Mujeres;155
Murcia;Abril;Total;286
Murcia;Abril;Hombres;141
Murcia;Abril;Mujeres;145
Murcia;Mayo;Total;273
Murcia;Mayo;Hombres;141
Murcia;Mayo;Mujeres;132
Murcia;Junio;Total;238
Murcia;Junio;Hombres;115
Murcia;Junio;Mujeres;123
Murcia;Julio;Total;268
Murcia;Julio;Hombres;139
Murcia;Julio;Mujeres;129
Murcia;Agosto;Total;286
Murcia;Agosto;Hombres;138
Murcia;Agosto;Mujeres;148
Murcia;Septiembre;Total;283
Murcia;Septiembre;Hombres;141
Murcia;Septiembre;Mujeres;142
Murcia;Octubre;Total;315
Murcia;Octubre;Hombres;164
Murcia;Octubre;Mujeres;151
Murcia;Noviembre;Total;355
Murcia;Noviembre;Hombres;182
Murcia;Noviembre;Mujeres;173
Murcia;Diciembre;Total;344
Murcia;Diciembre;Hombres;188
Murcia;Diciembre;Mujeres;156
Navarra;Total;Total;2.324
Navarra;Total;Hombres;1.166
Navarra;Total;Mujeres;1.158
Navarra;Enero;Total;205
Navarra;Enero;Hombres;93
Navarra;Enero;Mujeres;112
Navarra;Febrero;Total;183
Navarra;Febrero;Hombres;89
Navarra;Febrero;Mujeres;94
Navarra;Marzo;Total;287
Navarra;Marzo;Hombres;145
Navarra;Marzo;Mujeres;142
Navarra;Abril;Total;317
Navarra;Abril;Hombres;160
Navarra;Abril;Mujeres;157
Navarra;Mayo;Total;169
Navarra;Mayo;Hombres;85
Navarra;Mayo;Mujeres;84
Navarra;Junio;Total;153
Navarra;Junio;Hombres;76
Navarra;Junio;Mujeres;77
Navarra;Julio;Total;135
Navarra;Julio;Hombres;60
Navarra;Julio;Mujeres;75
Navarra;Agosto;Total;157
Navarra;Agosto;Hombres;88
Navarra;Agosto;Mujeres;69
Navarra;Septiembre;Total;160
Navarra;Septiembre;Hombres;86
Navarra;Septiembre;Mujeres;74
Navarra;Octubre;Total;193
Navarra;Octubre;Hombres;107
Navarra;Octubre;Mujeres;86
Navarra;Noviembre;Total;181
Navarra;Noviembre;Hombres;87
Navarra;Noviembre;Mujeres;94
Navarra;Diciembre;Total;184
Navarra;Diciembre;Hombres;90
Navarra;Diciembre;Mujeres;94
Orense;Total;Total;1.322
Orense;Total;Hombres;630
Orense;Total;Mujeres;692
Orense;Enero;Total;104
Orense;Enero;Hombres;60
Orense;Enero;Mujeres;44
Orense;Febrero;Total;113
Orense;Febrero;Hombres;44
Orense;Febrero;Mujeres;69
Orense;Marzo;Total;108
Orense;Marzo;Hombres;51
Orense;Marzo;Mujeres;57
Orense;Abril;Total;147
Orense;Abril;Hombres;63
Orense;Abril;Mujeres;84
Orense;Mayo;Total;94
Orense;Mayo;Hombres;42
Orense;Mayo;Mujeres;52
Orense;Junio;Total;78
Orense;Junio;Hombres;34
Orense;Junio;Mujeres;44
Orense;Julio;Total;109
Orense;Julio;Hombres;64
