Lugar de residencia (capitales);Mes de la defunción;Sexo;Total
Orense;Julio;Mujeres;45
Orense;Agosto;Total;91
Orense;Agosto;Hombres;38
Orense;Agosto;Mujeres;53
Orense;Septiembre;Total;100
Orense;Septiembre;Hombres;46
Orense;Septiembre;Mujeres;54
Orense;Octubre;Total;141
Orense;Octubre;Hombres;72
Orense;Octubre;Mujeres;69
Orense;Noviembre;Total;126
Orense;Noviembre;Hombres;60
Orense;Noviembre;Mujeres;66
Orense;Diciembre;Total;111
Orense;Diciembre;Hombres;56
Orense;Diciembre;Mujeres;55
Palencia;Total;Total;1.09
Palencia;Total;Hombres;525
Palencia;Total;Mujeres;565
Palencia;Enero;Total;103
Palencia;Enero;Hombres;50
Palencia;Enero;Mujeres;53
Palencia;Febrero;Total;70
Palencia;Febrero;Hombres;25
Palencia;Febrero;Mujeres;45
Palencia;Marzo;Total;118
Palencia;Marzo;Hombres;55
Palencia;Marzo;Mujeres;63
Palencia;Abril;Total;128
Palencia;Abril;Hombres;54
Palencia;Abril;Mujeres;74
Palencia;Mayo;Total;66
Palencia;Mayo;Hombres;33
Palencia;Mayo;Mujeres;33
Palencia;Junio;Total;74
Palencia;Junio;Hombres;42
Palencia;Junio;Mujeres;32
Palencia;Julio;Total;80
Palencia;Julio;Hombres;39
Palencia;Julio;Mujeres;41
Palencia;Agosto;Total;70
Palencia;Agosto;Hombres;35
Palencia;Agosto;Mujeres;35
Palencia;Septiembre;Total;70
Palencia;Septiembre;Hombres;31
Palencia;Septiembre;Mujeres;39
Palencia;Octubre;Total;89
Palencia;Octubre;Hombres;50
Palencia;Octubre;Mujeres;39
Palencia;Noviembre;Total;113
Palencia;Noviembre;Hombres;61
Palencia;Noviembre;Mujeres;52
Palencia;Diciembre;Total;109
Palencia;Diciembre;Hombres;50
Palencia;Diciembre;Mujeres;59
Las Palmas;Total;Total;3.552
Las Palmas;Total;Hombres;1.8
Las Palmas;Total;Mujeres;1.752
Las Palmas;Enero;Total;374
Las Palmas;Enero;Hombres;184
Las Palmas;Enero;Mujeres;190
Las Palmas;Febrero;Total;294
Las Palmas;Febrero;Hombres;152
Las Palmas;Febrero;Mujeres;142
Las Palmas;Marzo;Total;330
Las Palmas;Marzo;Hombres;171
Las Palmas;Marzo;Mujeres;159
Las Palmas;Abril;Total;279
Las Palmas;Abril;Hombres;136
Las Palmas;Abril;Mujeres;143
Las Palmas;Mayo;Total;287
Las Palmas;Mayo;Hombres;164
Las Palmas;Mayo;Mujeres;123
Las Palmas;Junio;Total;224
Las Palmas;Junio;Hombres;99
Las Palmas;Junio;Mujeres;125
Las Palmas;Julio;Total;256
Las Palmas;Julio;Hombres;131
Las Palmas;Julio;Mujeres;125
Las Palmas;Agosto;Total;311
Las Palmas;Agosto;Hombres;146
Las Palmas;Agosto;Mujeres;165
Las Palmas;Septiembre;Total;311
Las Palmas;Septiembre;Hombres;168
Las Palmas;Septiembre;Mujeres;143
Las Palmas;Octubre;Total;314
Las Palmas;Octubre;Hombres;147
Las Palmas;Octubre;Mujeres;167
Las Palmas;Noviembre;Total;265
Las Palmas;Noviembre;Hombres;140
Las Palmas;Noviembre;Mujeres;125
Las Palmas;Diciembre;Total;307
Las Palmas;Diciembre;Hombres;162
Las Palmas;Diciembre;Mujeres;145
Pontevedra;Total;Total;787
Pontevedra;Total;Hombres;361
Pontevedra;Total;Mujeres;426
Pontevedra;Enero;Total;90
Pontevedra;Enero;Hombres;37
Pontevedra;Enero;Mujeres;53
Pontevedra;Febrero;Total;61
Pontevedra;Febrero;Hombres;30
Pontevedra;Febrero;Mujeres;31
Pontevedra;Marzo;Total;53
Pontevedra;Marzo;Hombres;24
Pontevedra;Marzo;Mujeres;29
Pontevedra;Abril;Total;64
Pontevedra;Abril;Hombres;33
Pontevedra;Abril;Mujeres;31
Pontevedra;Mayo;Total;61
Pontevedra;Mayo;Hombres;18
Pontevedra;Mayo;Mujeres;43
Pontevedra;Junio;Total;62
Pontevedra;Junio;Hombres;31
Pontevedra;Junio;Mujeres;31
Pontevedra;Julio;Total;69
Pontevedra;Julio;Hombres;32
Pontevedra;Julio;Mujeres;37
Pontevedra;Agosto;Total;47
Pontevedra;Agosto;Hombres;19
Pontevedra;Agosto;Mujeres;28
Pontevedra;Septiembre;Total;50
Pontevedra;Septiembre;Hombres;22
Pontevedra;Septiembre;Mujeres;28
Pontevedra;Octubre;Total;73
Pontevedra;Octubre;Hombres;34
Pontevedra;Octubre;Mujeres;39
Pontevedra;Noviembre;Total;80
Pontevedra;Noviembre;Hombres;42
Pontevedra;Noviembre;Mujeres;38
Pontevedra;Diciembre;Total;77
Pontevedra;Diciembre;Hombres;39
Pontevedra;Diciembre;Mujeres;38
La Rioja;Total;Total;1.657
La Rioja;Total;Hombres;816
La Rioja;Total;Mujeres;841
La Rioja;Enero;Total;129
La Rioja;Enero;Hombres;70
La Rioja;Enero;Mujeres;59
La Rioja;Febrero;Total;122
La Rioja;Febrero;Hombres;61
La Rioja;Febrero;Mujeres;61
La Rioja;Marzo;Total;171
La Rioja;Marzo;Hombres;96
La Rioja;Marzo;Mujeres;75
La Rioja;Abril;Total;202
La Rioja;Abril;Hombres;93
La Rioja;Abril;Mujeres;109
La Rioja;Mayo;Total;116
La Rioja;Mayo;Hombres;61
La Rioja;Mayo;Mujeres;55
La Rioja;Junio;Total;114
La Rioja;Junio;Hombres;53
La Rioja;Junio;Mujeres;61
La Rioja;Julio;Total;115
La Rioja;Julio;Hombres;57
La Rioja;Julio;Mujeres;58
La Rioja;Agosto;Total;116
La Rioja;Agosto;Hombres;49
La Rioja;Agosto;Mujeres;67
La Rioja;Septiembre;Total;135
La Rioja;Septiembre;Hombres;54
La Rioja;Septiembre;Mujeres;81
La Rioja;Octubre;Total;168
La Rioja;Octubre;Hombres;90
La Rioja;Octubre;Mujeres;78
La Rioja;Noviembre;Total;138
La Rioja;Noviembre;Hombres;73
La Rioja;Noviembre;Mujeres;65
La Rioja;Diciembre;Total;131
La Rioja;Diciembre;Hombres;59
La Rioja;Diciembre;Mujeres;72
Salamanca;Total;Total;2.36
Salamanca;Total;Hombres;1.103
Salamanca;Total;Mujeres;1.257
Salamanca;Enero;Total;157
Salamanca;Enero;Hombres;62
Salamanca;Enero;Mujeres;95
Salamanca;Febrero;Total;150
Salamanca;Febrero;Hombres;80
Salamanca;Febrero;Mujeres;70
Salamanca;Marzo;Total;330
Salamanca;Marzo;Hombres;165
Salamanca;Marzo;Mujeres;165
Salamanca;Abril;Total;402
Salamanca;Abril;Hombres;193
Salamanca;Abril;Mujeres;209
Salamanca;Mayo;Total;171
Salamanca;Mayo;Hombres;76
Salamanca;Mayo;Mujeres;95
Salamanca;Junio;Total;126
Salamanca;Junio;Hombres;54
Salamanca;Junio;Mujeres;72
Salamanca;Julio;Total;197
Salamanca;Julio;Hombres;81
Salamanca;Julio;Mujeres;116
Salamanca;Agosto;Total;157
Salamanca;Agosto;Hombres;65
Salamanca;Agosto;Mujeres;92
Salamanca;Septiembre;Total;169
Salamanca;Septiembre;Hombres;86
Salamanca;Septiembre;Mujeres;83
Salamanca;Octubre;Total;171
Salamanca;Octubre;Hombres;86
Salamanca;Octubre;Mujeres;85
Salamanca;Noviembre;Total;166
Salamanca;Noviembre;Hombres;78
Salamanca;Noviembre;Mujeres;88
Salamanca;Diciembre;Total;164
Salamanca;Diciembre;Hombres;77
Salamanca;Diciembre;Mujeres;87
Santa Cruz de Tenerife;Total;Total;1.941
Santa Cruz de Tenerife;Total;Hombres;965
Santa Cruz de Tenerife;Total;Mujeres;976
Santa Cruz de Tenerife;Enero;Total;187
Santa Cruz de Tenerife;Enero;Hombres;87
Santa Cruz de Tenerife;Enero;Mujeres;100
Santa Cruz de Tenerife;Febrero;Total;183
Santa Cruz de Tenerife;Febrero;Hombres;88
Santa Cruz de Tenerife;Febrero;Mujeres;95
Santa Cruz de Tenerife;Marzo;Total;193
Santa Cruz de Tenerife;Marzo;Hombres;99
Santa Cruz de Tenerife;Marzo;Mujeres;94
Santa Cruz de Tenerife;Abril;Total;156
Santa Cruz de Tenerife;Abril;Hombres;79
Santa Cruz de Tenerife;Abril;Mujeres;77
Santa Cruz de Tenerife;Mayo;Total;139
Santa Cruz de Tenerife;Mayo;Hombres;65
Santa Cruz de Tenerife;Mayo;Mujeres;74
Santa Cruz de Tenerife;Junio;Total;153
Santa Cruz de Tenerife;Junio;Hombres;67
Santa Cruz de Tenerife;Junio;Mujeres;86
Santa Cruz de Tenerife;Julio;Total;165
Santa Cruz de Tenerife;Julio;Hombres;82
Santa Cruz de Tenerife;Julio;Mujeres;83
Santa Cruz de Tenerife;Agosto;Total;145
Santa Cruz de Tenerife;Agosto;Hombres;77
Santa Cruz de Tenerife;Agosto;Mujeres;68
Santa Cruz de Tenerife;Septiembre;Total;149
Santa Cruz de Tenerife;Septiembre;Hombres;71
Santa Cruz de Tenerife;Septiembre;Mujeres;78
Santa Cruz de Tenerife;Octubre;Total;143
Santa Cruz de Tenerife;Octubre;Hombres;74
Santa Cruz de Tenerife;Octubre;Mujeres;69
Santa Cruz de Tenerife;Noviembre;Total;163
Santa Cruz de Tenerife;Noviembre;Hombres;87
Santa Cruz de Tenerife;Noviembre;Mujeres;76
Santa Cruz de Tenerife;Diciembre;Total;165
Santa Cruz de Tenerife;Diciembre;Hombres;89
Santa Cruz de Tenerife;Diciembre;Mujeres;76
Segovia;Total;Total;829
Segovia;Total;Hombres;392
Segovia;Total;Mujeres;437
Segovia;Enero;Total;50
Segovia;Enero;Hombres;28
Segovia;Enero;Mujeres;22
Segovia;Febrero;Total;64
Segovia;Febrero;Hombres;27
Segovia;Febrero;Mujeres;37
Segovia;Marzo;Total;195
Segovia;Marzo;Hombres;98
Segovia;Marzo;Mujeres;97
Segovia;Abril;Total;198
Segovia;Abril;Hombres;91
Segovia;Abril;Mujeres;107
Segovia;Mayo;Total;48
Segovia;Mayo;Hombres;20
Segovia;Mayo;Mujeres;28
Segovia;Junio;Total;48
Segovia;Junio;Hombres;20
Segovia;Junio;Mujeres;28
Segovia;Julio;Total;44
Segovia;Julio;Hombres;26
Segovia;Julio;Mujeres;18
Segovia;Agosto;Total;33
Segovia;Agosto;Hombres;10
Segovia;Agosto;Mujeres;23
Segovia;Septiembre;Total;32
Segovia;Septiembre;Hombres;13
Segovia;Septiembre;Mujeres;19
Segovia;Octubre;Total;40
Segovia;Octubre;Hombres;23
Segovia;Octubre;Mujeres;17
Segovia;Noviembre;Total;31
Segovia;Noviembre;Hombres;18
Segovia;Noviembre;Mujeres;13
Segovia;Diciembre;Total;46
Segovia;Diciembre;Hombres;18
Segovia;Diciembre;Mujeres;28
Sevilla;Total;Total;6.954
Sevilla;Total;Hombres;3.402
Sevilla;Total;Mujeres;3.552
Sevilla;Enero;Total;664
Sevilla;Enero;Hombres;332
Sevilla;Enero;Mujeres;332
Sevilla;Febrero;Total;589
Sevilla;Febrero;Hombres;262
Sevilla;Febrero;Mujeres;327
Sevilla;Marzo;Total;590
Sevilla;Marzo;Hombres;284
Sevilla;Marzo;Mujeres;306
Sevilla;Abril;Total;583
Sevilla;Abril;Hombres;266
Sevilla;Abril;Mujeres;317
Sevilla;Mayo;Total;505
Sevilla;Mayo;Hombres;251
Sevilla;Mayo;Mujeres;254
Sevilla;Junio;Total;429
Sevilla;Junio;Hombres;220
Sevilla;Junio;Mujeres;209
Sevilla;Julio;Total;541
Sevilla;Julio;Hombres;257
Sevilla;Julio;Mujeres;284
Sevilla;Agosto;Total;497
Sevilla;Agosto;Hombres;237
Sevilla;Agosto;Mujeres;260
Sevilla;Septiembre;Total;518
Sevilla;Septiembre;Hombres;251
Sevilla;Septiembre;Mujeres;267
Sevilla;Octubre;Total;639
Sevilla;Octubre;Hombres;310
Sevilla;Octubre;Mujeres;329
Sevilla;Noviembre;Total;737
Sevilla;Noviembre;Hombres;402
Sevilla;Noviembre;Mujeres;335
Sevilla;Diciembre;Total;662
Sevilla;Diciembre;Hombres;330
Sevilla;Diciembre;Mujeres;332
Soria;Total;Total;558
Soria;Total;Hombres;272
Soria;Total;Mujeres;286
Soria;Enero;Total;44
Soria;Enero;Hombres;24
Soria;Enero;Mujeres;20
Soria;Febrero;Total;21
Soria;Febrero;Hombres;11
Soria;Febrero;Mujeres;10
Soria;Marzo;Total;110
Soria;Marzo;Hombres;60
Soria;Marzo;Mujeres;50
Soria;Abril;Total;107
Soria;Abril;Hombres;50
Soria;Abril;Mujeres;57
Soria;Mayo;Total;31
Soria;Mayo;Hombres;16
Soria;Mayo;Mujeres;15
Soria;Junio;Total;45
Soria;Junio;Hombres;17
Soria;Junio;Mujeres;28
Soria;Julio;Total;35
Soria;Julio;Hombres;13
Soria;Julio;Mujeres;22
Soria;Agosto;Total;28
Soria;Agosto;Hombres;15
Soria;Agosto;Mujeres;13
Soria;Septiembre;Total;28
Soria;Septiembre;Hombres;14
Soria;Septiembre;Mujeres;14
Soria;Octubre;Total;39
Soria;Octubre;Hombres;17
Soria;Octubre;Mujeres;22
Soria;Noviembre;Total;36
Soria;Noviembre;Hombres;17
Soria;Noviembre;Mujeres;19
Soria;Diciembre;Total;34
Soria;Diciembre;Hombres;18
Soria;Diciembre;Mujeres;16
Tarragona;Total;Total;1.222
Tarragona;Total;Hombres;638
Tarragona;Total;Mujeres;584
Tarragona;Enero;Total;114
Tarragona;Enero;Hombres;58
Tarragona;Enero;Mujeres;56
Tarragona;Febrero;Total;83
Tarragona;Febrero;Hombres;47
Tarragona;Febrero;Mujeres;36
Tarragona;Marzo;Total;126
Tarragona;Marzo;Hombres;72
Tarragona;Marzo;Mujeres;54
Tarragona;Abril;Total;144
Tarragona;Abril;Hombres;72
Tarragona;Abril;Mujeres;72
Tarragona;Mayo;Total;86
Tarragona;Mayo;Hombres;37
Tarragona;Mayo;Mujeres;49
Tarragona;Junio;Total;82
Tarragona;Junio;Hombres;42
Tarragona;Junio;Mujeres;40
Tarragona;Julio;Total;74
Tarragona;Julio;Hombres;37
Tarragona;Julio;Mujeres;37
Tarragona;Agosto;Total;94
Tarragona;Agosto;Hombres;48
Tarragona;Agosto;Mujeres;46
Tarragona;Septiembre;Total;76
Tarragona;Septiembre;Hombres;40
Tarragona;Septiembre;Mujeres;36
Tarragona;Octubre;Total;120
Tarragona;Octubre;Hombres;65
Tarragona;Octubre;Mujeres;55
Tarragona;Noviembre;Total;121
Tarragona;Noviembre;Hombres;65
Tarragona;Noviembre;Mujeres;56
Tarragona;Diciembre;Total;102
Tarragona;Diciembre;Hombres;55
Tarragona;Diciembre;Mujeres;47
Teruel;Total;Total;437
Teruel;Total;Hombres;220
Teruel;Total;Mujeres;217
Teruel;Enero;Total;39
Teruel;Enero;Hombres;18
Teruel;Enero;Mujeres;21
Teruel;Febrero;Total;34
Teruel;Febrero;Hombres;14
Teruel;Febrero;Mujeres;20
Teruel;Marzo;Total;49
Teruel;Marzo;Hombres;25
Teruel;Marzo;Mujeres;24
Teruel;Abril;Total;56
Teruel;Abril;Hombres;29
Teruel;Abril;Mujeres;27
Teruel;Mayo;Total;20
Teruel;Mayo;Hombres;11
Teruel;Mayo;Mujeres;9
Teruel;Junio;Total;24
Teruel;Junio;Hombres;13
Teruel;Junio;Mujeres;11
Teruel;Julio;Total;34
Teruel;Julio;Hombres;13
Teruel;Julio;Mujeres;21
Teruel;Agosto;Total;34
Teruel;Agosto;Hombres;13
Teruel;Agosto;Mujeres;21
Teruel;Septiembre;Total;25
Teruel;Septiembre;Hombres;13
Teruel;Septiembre;Mujeres;12
Teruel;Octubre;Total;36
Teruel;Octubre;Hombres;22
Teruel;Octubre;Mujeres;14
Teruel;Noviembre;Total;56
Teruel;Noviembre;Hombres;32
Teruel;Noviembre;Mujeres;24
Teruel;Diciembre;Total;30
Teruel;Diciembre;Hombres;17
Teruel;Diciembre;Mujeres;13
Toledo;Total;Total;785
Toledo;Total;Hombres;382
Toledo;Total;Mujeres;403
Toledo;Enero;Total;72
Toledo;Enero;Hombres;27
Toledo;Enero;Mujeres;45
Toledo;Febrero;Total;44
Toledo;Febrero;Hombres;19
Toledo;Febrero;Mujeres;25
Toledo;Marzo;Total;92
Toledo;Marzo;Hombres;53
Toledo;Marzo;Mujeres;39
Toledo;Abril;Total;114
Toledo;Abril;Hombres;57
Toledo;Abril;Mujeres;57
Toledo;Mayo;Total;56
Toledo;Mayo;Hombres;26
Toledo;Mayo;Mujeres;30
Toledo;Junio;Total;38
Toledo;Junio;Hombres;17
Toledo;Junio;Mujeres;21
Toledo;Julio;Total;51
Toledo;Julio;Hombres;28
Toledo;Julio;Mujeres;23
Toledo;Agosto;Total;50
Toledo;Agosto;Hombres;21
Toledo;Agosto;Mujeres;29
Toledo;Septiembre;Total;58
Toledo;Septiembre;Hombres;32
Toledo;Septiembre;Mujeres;26
Toledo;Octubre;Total;62
Toledo;Octubre;Hombres;27
Toledo;Octubre;Mujeres;35
Toledo;Noviembre;Total;90
Toledo;Noviembre;Hombres;42
Toledo;Noviembre;Mujeres;48
Toledo;Diciembre;Total;58
Toledo;Diciembre;Hombres;33
Toledo;Diciembre;Mujeres;25
Valencia;Total;Total;8.469
Valencia;Total;Hombres;4.131
Valencia;Total;Mujeres;4.338
Valencia;Enero;Total;779
Valencia;Enero;Hombres;368
Valencia;Enero;Mujeres;411
Valencia;Febrero;Total;645
Valencia;Febrero;Hombres;299
Valencia;Febrero;Mujeres;346
Valencia;Marzo;Total;828
Valencia;Marzo;Hombres;436
Valencia;Marzo;Mujeres;392
Valencia;Abril;Total;803
Valencia;Abril;Hombres;398
Valencia;Abril;Mujeres;405
Valencia;Mayo;Total;622
Valencia;Mayo;Hombres;324
Valencia;Mayo;Mujeres;298
Valencia;Junio;Total;592
Valencia;Junio;Hombres;273
Valencia;Junio;Mujeres;319
Valencia;Julio;Total;637
Valencia;Julio;Hombres;307
Valencia;Julio;Mujeres;330
Valencia;Agosto;Total;720
Valencia;Agosto;Hombres;364
Valencia;Agosto;Mujeres;356
Valencia;Septiembre;Total;622
Valencia;Septiembre;Hombres;298
Valencia;Septiembre;Mujeres;324
Valencia;Octubre;Total;707
Valencia;Octubre;Hombres;351
Valencia;Octubre;Mujeres;356
Valencia;Noviembre;Total;704
Valencia;Noviembre;Hombres;325
Valencia;Noviembre;Mujeres;379
Valencia;Diciembre;Total;810
Valencia;Diciembre;Hombres;388
Valencia;Diciembre;Mujeres;422
Valladolid;Total;Total;3.936
Valladolid;Total;Hombres;1.93
Valladolid;Total;Mujeres;2.006
Valladolid;Enero;Total;317
Valladolid;Enero;Hombres;151
Valladolid;Enero;Mujeres;166
Valladolid;Febrero;Total;252
Valladolid;Febrero;Hombres;131
Valladolid;Febrero;Mujeres;121
Valladolid;Marzo;Total;420
Valladolid;Marzo;Hombres;203
Valladolid;Marzo;Mujeres;217
Valladolid;Abril;Total;569
Valladolid;Abril;Hombres;266
Valladolid;Abril;Mujeres;303
Valladolid;Mayo;Total;294
Valladolid;Mayo;Hombres;146
Valladolid;Mayo;Mujeres;148
Valladolid;Junio;Total;250
Valladolid;Junio;Hombres;115
Valladolid;Junio;Mujeres;135
Valladolid;Julio;Total;275
Valladolid;Julio;Hombres;137
Valladolid;Julio;Mujeres;138
Valladolid;Agosto;Total;284
Valladolid;Agosto;Hombres;139
Valladolid;Agosto;Mujeres;145
Valladolid;Septiembre;Total;254
Valladolid;Septiembre;Hombres;122
Valladolid;Septiembre;Mujeres;132
Valladolid;Octubre;Total;327
Valladolid;Octubre;Hombres;177
Valladolid;Octubre;Mujeres;150
Valladolid;Noviembre;Total;382
Valladolid;Noviembre;Hombres;196
Valladolid;Noviembre;Mujeres;186
Valladolid;Diciembre;Total;312
Valladolid;Diciembre;Hombres;147
Valladolid;Diciembre;Mujeres;165
Zamora;Total;Total;886
Zamora;Total;Hombres;420
Zamora;Total;Mujeres;466
Zamora;Enero;Total;72
Zamora;Enero;Hombres;27
Zamora;Enero;Mujeres;45
Zamora;Febrero;Total;36
Zamora;Febrero;Hombres;21
Zamora;Febrero;Mujeres;15
Zamora;Marzo;Total;76
Zamora;Marzo;Hombres;36
Zamora;Marzo;Mujeres;40
Zamora;Abril;Total;93
Zamora;Abril;Hombres;41
Zamora;Abril;Mujeres;52
Zamora;Mayo;Total;53
Zamora;Mayo;Hombres;27
Zamora;Mayo;Mujeres;26
Zamora;Junio;Total;57
Zamora;Junio;Hombres;31
Zamora;Junio;Mujeres;26
Zamora;Julio;Total;77
Zamora;Julio;Hombres;37
Zamora;Julio;Mujeres;40
Zamora;Agosto;Total;71
Zamora;Agosto;Hombres;33
Zamora;Agosto;Mujeres;38
Zamora;Septiembre;Total;68
Zamora;Septiembre;Hombres;34
Zamora;Septiembre;Mujeres;34
Zamora;Octubre;Total;79
Zamora;Octubre;Hombres;37
Zamora;Octubre;Mujeres;42
Zamora;Noviembre;Total;115
Zamora;Noviembre;Hombres;50
Zamora;Noviembre;Mujeres;65
Zamora;Diciembre;Total;89
Zamora;Diciembre;Hombres;46
Zamora;Diciembre;Mujeres;43
Zaragoza;Total;Total;7.999
Zaragoza;Total;Hombres;3.791
Zaragoza;Total;Mujeres;4.208
Zaragoza;Enero;Total;705
Zaragoza;Enero;Hombres;336
Zaragoza;Enero;Mujeres;369
Zaragoza;Febrero;Total;542
Zaragoza;Febrero;Hombres;252
Zaragoza;Febrero;Mujeres;290
Zaragoza;Marzo;Total;750
Zaragoza;Marzo;Hombres;372
Zaragoza;Marzo;Mujeres;378
Zaragoza;Abril;Total;959
Zaragoza;Abril;Hombres;424
Zaragoza;Abril;Mujeres;535
Zaragoza;Mayo;Total;551
Zaragoza;Mayo;Hombres;263
Zaragoza;Mayo;Mujeres;288
Zaragoza;Junio;Total;449
Zaragoza;Junio;Hombres;225
Zaragoza;Junio;Mujeres;224
Zaragoza;Julio;Total;582
Zaragoza;Julio;Hombres;259
Zaragoza;Julio;Mujeres;323
Zaragoza;Agosto;Total;757
Zaragoza;Agosto;Hombres;351
Zaragoza;Agosto;Mujeres;406
Zaragoza;Septiembre;Total;608
Zaragoza;Septiembre;Hombres;289
Zaragoza;Septiembre;Mujeres;319
Zaragoza;Octubre;Total;639
Zaragoza;Octubre;Hombres;313
Zaragoza;Octubre;Mujeres;326
Zaragoza;Noviembre;Total;782
Zaragoza;Noviembre;Hombres;381
Zaragoza;Noviembre;Mujeres;401
Zaragoza;Diciembre;Total;675
Zaragoza;Diciembre;Hombres;326
Zaragoza;Diciembre;Mujeres;349
